    Minimum = 31ms, Maximum = 49ms, Mittelwert = 41ms
    Minimum = 33ms, Maximum = 36ms, Mittelwert = 34ms
    Minimum = 38ms, Maximum = 50ms, Mittelwert = 42ms
    Minimum = 42ms, Maximum = 50ms, Mittelwert = 45ms
    Minimum = 41ms, Maximum = 53ms, Mittelwert = 45ms
    Minimum = 43ms, Maximum = 50ms, Mittelwert = 46ms
    Minimum = 43ms, Maximum = 48ms, Mittelwert = 45ms
    Minimum = 46ms, Maximum = 50ms, Mittelwert = 48ms
    Minimum = 46ms, Maximum = 76ms, Mittelwert = 54ms
    Minimum = 48ms, Maximum = 72ms, Mittelwert = 56ms
    Minimum = 54ms, Maximum = 83ms, Mittelwert = 69ms
    Minimum = 51ms, Maximum = 64ms, Mittelwert = 55ms
    Minimum = 51ms, Maximum = 74ms, Mittelwert = 61ms
    Minimum = 52ms, Maximum = 66ms, Mittelwert = 60ms
    Minimum = 48ms, Maximum = 65ms, Mittelwert = 54ms
    Minimum = 51ms, Maximum = 63ms, Mittelwert = 54ms
    Minimum = 45ms, Maximum = 53ms, Mittelwert = 50ms
    Minimum = 50ms, Maximum = 72ms, Mittelwert = 60ms
    Minimum = 52ms, Maximum = 68ms, Mittelwert = 59ms
    Minimum = 50ms, Maximum = 85ms, Mittelwert = 61ms
    Minimum = 53ms, Maximum = 90ms, Mittelwert = 78ms
